,res_time
0,2.418
1,0.348
2,1.584
3,5.484
4,0.75
5,15.234000000000002
6,8812.482
7,0.786
8,3.7979999999999996
9,0.0
10,0.648
11,18.618000000000002
12,3.048
13,816.786
14,10.518
15,0.768
16,10521.900000000001
17,27.150000000000002
18,160.002
19,4.35
20,3.168
21,1.668
22,4.632000000000001
23,4.218
24,0.534
25,0.15
26,0.5640000000000001
27,17.915999999999997
28,3.5820000000000003
29,0.15
30,1.3499999999999999
31,0.252
32,0.0
33,0.5820000000000001
34,0.498
35,0.46799999999999997
36,781.2479999999999
37,10.734
38,0.168
39,0.132
40,0.36600000000000005
41,3.3659999999999997
42,1.002
43,0.252
44,1.734
45,2.8680000000000003
46,24747.048000000003
47,0.8520000000000001
48,7.5840000000000005
49,10.518
50,0.084
51,2.4659999999999997
52,5.568
53,2.736
54,9.834
55,1.9680000000000002
56,29.064
57,102.366
58,1.65
59,0.9179999999999999
60,0.552
61,0.0
62,24.636000000000003
63,2.298
64,3.516
65,0.0
66,0.666
67,2.568
68,0.786
69,64.248
70,1.248
71,1.9859999999999998
72,5574.168
73,2.514
74,6.1499999999999995
75,0.5640000000000001
76,0.402
77,0.0
78,5.3999999999999995
79,3.7319999999999998
80,0.0
81,0.0
82,4.314
83,2.85
84,0.264
85,0.402
86,2.568
87,3.084
88,9.3
89,138.56400000000002
90,4.518000000000001
91,1.848
92,2.916
93,1.05
94,0.084
95,0.0
96,5.513999999999999
97,0.768
98,3.15
99,245.352
100,1.482
101,47.484
102,0.23399999999999999
103,537.048
104,20.25
105,5.8500000000000005
106,0.0
107,0.23399999999999999
108,7.098
109,578.832
110,17.148
111,11378.634
112,0.636
113,102.0
114,16016.616
115,1107.786
116,0.7140000000000001
117,0.864
118,1.086
119,63.618
120,3.45
121,0.0
122,21.552
123,0.5820000000000001
124,12.984
125,1.086
126,4.014
127,1.9859999999999998
128,1045.698
129,0.132
130,306.084
131,240.43200000000002
132,32.418
133,857.5980000000001
134,4.1819999999999995
135,0.648
136,557.418
137,11663.286
138,96.10199999999999
139,3.4979999999999998
140,44.364
141,1.182
142,1.098
143,9.186
144,0.5640000000000001
145,0.264
146,4.602
147,53.532
148,0.066
149,1.614
150,8.25
151,0.348
152,0.384
153,1.782
154,1.266
155,0.6
156,0.0
157,7.5840000000000005
158,7.800000000000001
159,9.713999999999999
160,179.448
161,4.416
162,1.8659999999999999
163,32.867999999999995
164,0.318
165,2.034
166,6.336
167,14.298
168,1548.7859999999998
169,11.766
170,8.418000000000001
171,0.432
172,0.9359999999999999
173,0.864
174,2305.434
175,0.0
176,2434.716
177,0.198
178,372.732
179,1.614
180,1.152
181,50.016
182,24.534
183,69.93599999999999
184,0.498
185,20.166
186,0.75
187,3.3659999999999997
188,5.664
189,79.26599999999999
190,19.836
191,11.082
192,0.516
193,0.066
194,10.932
195,0.44999999999999996
196,0.834
197,2.8680000000000003
198,965.916
199,0.636
200,9.732000000000001
201,0.46799999999999997
202,3.834
203,1.818
204,5429.214
205,4.716
206,0.648
207,9.75
208,1.9680000000000002
209,0.46799999999999997
210,0.186
211,0.132
212,1.134
213,17.964
214,0.23399999999999999
215,3.186
216,0.618
217,3.114
218,0.534
219,199.584
220,1.914
221,2.5500000000000003
222,6.3
223,31587.564
224,1.068
225,5688.186
226,46.932
227,0.0
228,7.266
229,0.3
230,8.064
231,1380.45
232,7.902000000000001
233,3.414
234,45.449999999999996
235,1.782
236,38495.652
237,9379.248
238,627.4979999999999
239,2.814
240,0.8520000000000001
241,1.3499999999999999
242,0.46799999999999997
243,0.6
244,0.432
245,8.867999999999999
246,1.368
247,790.302
248,0.5820000000000001
249,19.151999999999997
250,1.686
251,0.348
252,0.7020000000000001
253,1.032
254,10.368
255,7.632000000000001
256,224.682
257,1.416
258,0.018
259,1.248
260,6.636
261,0.28200000000000003
