,sentiment_label,time_interval
0,1,15.564000000000002
1,1,1.236
2,-1,9.402000000000001
3,1,5.364
4,1,7.3020000000000005
5,0,2.718
6,1,7.452
7,1,2.4
8,-1,323.982
9,1,0.966
10,1,1.584
11,-1,4.584
12,1,8.501999999999999
13,1,0.23399999999999999
14,0,1.914
15,-1,0.0
16,1,38.1
17,1,8.064
18,1,0.834
19,0,1.9980000000000002
20,-1,0.636
21,1,237.852
22,1,0.666
23,0,0.966
24,1,15.882
25,1,0.5820000000000001
26,1,5783.052000000001
27,0,5.364
28,1,749.082
29,1,5.868
30,1,1.1159999999999999
31,1,277.914
32,-1,2.6999999999999997
33,-1,4.416
34,0,7054.902
35,1,27.383999999999997
36,1,184.452
37,1,10.836
38,1,12799.002
39,1,0.432
40,1,0.534
41,-1,901.032
42,1,1.5
43,1,6.965999999999999
44,1,166.86599999999999
45,0,34.398
46,-1,5670.918
47,1,138.40200000000002
48,-1,1601.586
49,1,2.0820000000000003
50,-1,2.484
51,1,194.61599999999999
52,1,1070.202
53,0,2007.948
54,1,1.098
55,-1,0.816
56,1,1.848
57,-1,0.636
58,1,1.1640000000000001
59,1,3.75
60,1,9.066
61,-1,1.236
62,1,1.764
63,1,47.352000000000004
64,1,4.95
65,1,6.414
66,1,604.398
67,1,1.368
68,1,0.816
69,1,1.884
70,1,148.884
71,-1,1.248
72,1,0.9480000000000001
73,1,16.386
74,1,1222.548
75,1,1.284
76,1,1.3980000000000001
77,1,1.782
78,1,15.714000000000002
79,1,3.5999999999999996
80,1,1.134
81,1,2.214
82,-1,10.998
83,1,0.15
84,1,0.28200000000000003
85,0,0.23399999999999999
86,1,0.384
87,1,1.686
88,1,5.436
89,1,586.986
90,1,0.132
91,1,0.198
92,1,507.036
93,1,90.31800000000001
94,1,4.433999999999999
95,1,14.766
96,1,195.768
97,1,245.718
98,1,2.4480000000000004
99,1,29.514
100,1,39.666000000000004
101,-1,0.28200000000000003
102,0,7.05
103,-1,2.166
104,1,883.3679999999999
105,1,0.75
106,1,6.102
107,1,3.8819999999999997
108,1,1.332
109,1,0.216
110,1,111.93599999999999
111,1,0.966
112,1,0.8520000000000001
113,1,3.468
114,1,36.714
115,1,34.199999999999996
116,-1,3.114
117,1,6.486
118,1,0.264
119,-1,0.066
120,-1,2.0820000000000003
121,-1,1.782
122,1,65.14800000000001
123,1,53.1
124,1,0.552
125,1,3.7319999999999998
126,1,2.5500000000000003
127,1,13.548
128,1,2.964
129,1,55.05
130,1,9.918
131,1,4.716
132,1,4.2
133,0,22.218
134,1,55.65
135,1,147.93599999999998
136,1,40.884
137,1,8.052000000000001
138,1,9.582
139,1,51.234
140,1,0.9179999999999999
141,1,1.182
142,1,11.165999999999999
143,1,1.1640000000000001
144,-1,0.768
145,1,1.932
146,1,149.052
147,0,16.067999999999998
148,0,2.736
149,1,2.25
150,1,18.732
151,1,13.164000000000001
152,1,85.866
153,-1,148.086
154,1,7.085999999999999
155,1,0.23399999999999999
156,-1,0.552
157,1,0.15
158,0,0.264
159,1,0.834
160,1,4.164000000000001
161,1,8.064
162,1,0.864
163,1,3.168
164,1,2.718
165,1,1.284
166,1,117.384
167,0,5.964
168,1,8.363999999999999
169,1,4.566
170,1,4.014
171,1,528.7139999999999
172,1,1471.602
173,1,3.618
174,1,2.514
175,1,6.168
176,1,37.583999999999996
177,1,13.565999999999999
178,1,0.648
179,-1,0.516
180,1,2.5500000000000003
181,1,7.116
182,1,53.4
183,1,27.816000000000003
184,0,2.418
185,1,2.0820000000000003
186,0,5.286
187,1,1.086
188,1,3.552
189,-1,88.536
190,1,15.852
191,1,21.018
192,1,5566.482
193,-1,0.3
194,1,725.352
195,-1,7.536
196,1,19.434
197,1,1.5
198,1,0.8520000000000001
199,-1,4.032
200,1,2699.166
201,1,1.764
202,1,2.118
203,-1,0.786
204,1,2.514
205,1,128.682
206,1,2.514
207,-1,9767.682
208,1,2.484
209,1,3.15
210,1,3.4859999999999998
211,1,91.818
212,1,0.834
213,1,0.7140000000000001
214,1,1.5
215,1,1.686
216,1,3.864
217,1,7.236
218,0,215.118
219,0,33.882
220,1,2.532
221,0,0.102
222,0,7.386
223,0,1.902
224,1,57.348
225,1,0.618
226,1,0.516
227,0,185.898
228,1,16.518
229,0,3.3480000000000003
230,1,8.634
231,1,8.634
232,1,262.56600000000003
233,1,284.886
234,1,0.516
235,1,4.398000000000001
236,1,82.848
237,1,11.148
238,1,1.284
239,0,12.264
240,1,2.664
241,1,231.0
242,1,237.834
243,-1,0.8520000000000001
244,1,659.5680000000001
245,1,9.485999999999999
246,1,90.936
247,1,3.066
248,-1,1.9680000000000002
249,-1,2.8680000000000003
250,-1,14.016
251,1,159.084
252,1,22.686
253,1,1282.95
254,1,4.8
255,1,101.268
256,1,0.7140000000000001
257,1,8.382
258,-1,6.5520000000000005
259,-1,3914.898
260,1,4.398000000000001
261,1,4.95
262,1,1.5
263,1,20186.634
264,1,0.666
265,1,3.7979999999999996
266,-1,2.214
267,1,14414.082
268,1,4.914
269,1,0.618
270,1,0.46799999999999997
271,1,0.9480000000000001
272,1,4.686
273,1,0.8999999999999999
274,1,13.848
275,-1,0.46799999999999997
276,0,0.084
277,1,0.5640000000000001
278,1,31504.266
279,1,37.116
280,-1,0.168
281,-1,0.786
282,1,0.23399999999999999
283,1,1.248
284,1,22.134
285,-1,1.068
286,-1,1.764
287,-1,2.184
288,-1,22.451999999999998
289,0,2840.634
290,1,8.832
291,1,496.79999999999995
292,1,0.036
293,1,0.882
294,1,1.134
295,1,2.484
296,1,0.5820000000000001
297,1,2.364
298,1,1.086
299,1,0.7320000000000001
300,1,1.518
301,1,0.666
302,1,0.768
303,1,0.864
304,1,0.8520000000000001
305,1,2.016
306,1,1.7999999999999998
307,1,0.618
308,1,12.15
309,1,2.964
310,0,0.9840000000000001
311,-1,2.634
312,1,0.7140000000000001
313,1,0.7020000000000001
314,1,0.44999999999999996
315,1,0.44999999999999996
316,1,0.552
317,1,0.636
318,1,0.46799999999999997
319,1,0.384
320,1,14.352
321,1,58.632
322,0,622.452
323,1,1380.798
324,1,28.134
325,1,0.618
326,-1,71.118
327,-1,1.248
328,0,3.066
329,0,502.584
330,1,110.682
331,1,1538.016
332,1,6.636
333,1,803.532
334,1,5.766
335,-1,0.252
336,1,1.602
337,1,313.95
338,0,1.098
339,-1,3.282
340,0,1.332
341,0,4.8
342,0,230.74800000000002
343,-1,2.4659999999999997
344,1,5.184
345,1,1.734
346,1,2.982
347,1,0.7979999999999999
348,1,1.482
349,-1,0.684
350,0,336.936
351,1,1.2
352,1,8.867999999999999
353,1,3.984
354,1,4.95
355,0,14.514
356,0,9.15
357,0,7.368
358,1,0.402
359,1,6.186
360,1,0.684
361,-1,0.9480000000000001
362,0,3.402
363,1,2.3160000000000003
364,1,422.01599999999996
365,1,2.814
366,0,0.9179999999999999
367,0,1033.014
368,1,2.064
369,-1,0.198
370,-1,5678.718000000001
371,-1,0.9179999999999999
372,1,2.586
373,1,1.266
374,1,16.163999999999998
375,-1,1.098
376,0,8.382
377,1,147.51600000000002
378,0,3970.152
379,0,6.582000000000001
380,1,625.152
381,1,1.416
382,0,35.598000000000006
383,-1,1.782
384,-1,288.636
385,0,10.001999999999999
386,1,0.414
387,1,0.252
388,1,79.152
389,1,10.548
390,0,2.364
391,1,1.734
392,1,1.134
393,1,0.7140000000000001
394,1,41.016
395,1,2.5020000000000002
396,1,7.536
397,1,1.914
398,-1,28.764
399,0,0.486
400,1,0.5640000000000001
401,-1,3.5340000000000003
402,-1,1.698
403,1,1.002
404,0,0.066
405,-1,1.284
406,1,710.0519999999999
407,1,0.5640000000000001
408,0,3.048
409,1,4.302
410,1,0.516
411,1,38.214
412,1,19.302
413,1,0.3
414,-1,3.036
415,1,8.85
416,1,2.934
417,1,17.382
